Ranks,NITER,N,MFlops,Time
18,10000,1000,45090.71,0.44
36,10000,1000,30464.76,0.66
54,10000,1000,20282.42,0.99
72,10000,1000,13819.18,1.45
18,10000,4000,22622.40,14.15
36,10000,4000,52777.96,6.06
54,10000,4000,80652.37,3.97
72,10000,4000,73090.76,4.38
18,10000,10000,19445.41,102.85
36,10000,10000,39385.06,50.78
54,10000,10000,58332.55,34.29
72,10000,10000,71573.39,27.94
18,5000,20000,20031.78,199.68
36,5000,20000,38230.16,104.63
54,5000,20000,57497.05,69.57
72,5000,20000,76437.76,52.33
