Ranks,NITER,N,MFlops,Time
18,10000,1000,95370.52,0.21
36,10000,1000,68212.90,0.29
54,10000,1000,45713.89,0.44
72,10000,1000,25326.30,0.79
18,10000,4000,24646.31,12.98
36,10000,4000,74525.89,4.29
54,10000,4000,136250.04,2.35
72,10000,4000,160364.52,2.00
18,10000,10000,20037.01,99.82
36,10000,10000,41469.24,48.23
54,10000,10000,66614.95,30.02
72,10000,10000,89191.07,22.42
18,5000,20000,20201.88,198.00
36,5000,20000,39243.60,101.93
54,5000,20000,59608.03,67.11
72,5000,20000,80123.82,49.92
