0.00 0.00 0.000000 -0.000000 0.000000
0.01 0.00 0.000001 -0.000001 0.000001
0.01 0.00 0.000003 -0.000001 0.000003
0.01 0.00 0.000005 -0.000002 0.000006
0.02 0.00 0.000009 -0.000002 0.000009
0.02 0.00 0.000012 -0.000002 0.000012
0.03 0.00 0.000015 -0.000002 0.000015
0.03 0.00 0.000019 -0.000001 0.000019
0.03 0.00 0.000021 -0.000001 0.000021
0.04 0.00 0.000023 -0.000001 0.000023
0.04 0.00 0.000025 -0.000001 0.000025
0.05 0.00 0.000026 -0.000000 0.000026
0.05 0.00 0.000026 0.000000 0.000026
0.05 0.00 0.000026 0.000000 0.000026
0.06 0.00 0.000024 0.000001 0.000024
0.06 0.00 0.000022 0.000001 0.000023
0.07 0.00 0.000020 0.000002 0.000020
0.07 0.00 0.000016 0.000002 0.000016
0.07 0.00 0.000012 0.000002 0.000012
0.08 0.00 0.000007 0.000003 0.000007
0.08 0.00 0.000001 0.000003 0.000003
0.09 0.00 -0.000006 0.000003 0.000007
0.09 0.00 -0.000013 0.000004 0.000013
0.09 0.00 -0.000021 0.000004 0.000021
0.10 0.00 -0.000030 0.000004 0.000030
0.10 0.00 -0.000039 0.000005 0.000039
0.11 0.00 -0.000049 0.000005 0.000049
0.11 0.00 -0.000059 0.000005 0.000060
0.11 0.00 -0.000071 0.000006 0.000071
0.12 0.00 -0.000082 0.000006 0.000082
0.12 0.00 -0.000095 0.000006 0.000095
0.13 0.00 -0.000107 0.000007 0.000108
0.13 0.00 -0.000121 0.000007 0.000121
0.13 0.00 -0.000135 0.000007 0.000135
0.14 0.00 -0.000149 0.000007 0.000149
0.14 0.00 -0.000164 0.000007 0.000164
0.15 0.00 -0.000179 0.000008 0.000179
0.15 0.00 -0.000194 0.000008 0.000195
0.15 0.00 -0.000210 0.000008 0.000211
0.16 0.00 -0.000227 0.000008 0.000227
0.16 0.00 -0.000243 0.000008 0.000244
0.17 0.00 -0.000260 0.000009 0.000261
0.17 0.00 -0.000278 0.000009 0.000278
0.17 0.00 -0.000295 0.000009 0.000295
0.18 0.00 -0.000313 0.000009 0.000313
0.18 0.00 -0.000331 0.000009 0.000332
0.19 0.00 -0.000350 0.000009 0.000350
0.19 0.00 -0.000368 0.000009 0.000368
0.19 0.00 -0.000387 0.000009 0.000387
0.20 0.00 -0.000406 0.000010 0.000406
0.20 0.00 -0.000425 0.000010 0.000425
0.21 0.00 -0.000445 0.000010 0.000445
0.21 0.00 -0.000464 0.000010 0.000464
0.21 0.00 -0.000484 0.000010 0.000484
0.22 0.00 -0.000503 0.000010 0.000504
0.22 0.00 -0.000523 0.000010 0.000523
0.23 0.00 -0.000543 0.000010 0.000543
0.23 0.00 -0.000563 0.000010 0.000563
0.23 0.00 -0.000583 0.000010 0.000583
0.24 0.00 -0.000603 0.000010 0.000603
